source_context,target_context,import_count
adapter-action,execution-control,3
adapter-action,incident-management,2
adapter-action,infrastructure,2
adapter-action,observability,1
adapter-action,task-orchestration,2
agent-control,infrastructure,4
api,adapter-action,16
api,agent-control,14
api,app-config,1
api,event-processing,9
api,execution-control,19
api,incident-management,8
api,lifecycle-control,5
api,observability,3
api,task-orchestration,17
app-config,adapter-action,2
app-config,event-processing,2
app-config,execution-control,2
app-config,incident-management,1
app-config,lifecycle-control,1
app-config,observability,1
app-config,task-orchestration,1
event-processing,app-config,1
event-processing,incident-management,4
event-processing,observability,1
event-processing,task-orchestration,2
execution-control,adapter-action,1
execution-control,agent-control,1
execution-control,infrastructure,4
execution-control,observability,2
execution-control,task-orchestration,12
incident-management,event-processing,11
incident-management,infrastructure,2
incident-management,lifecycle-control,1
lifecycle-control,execution-control,3
lifecycle-control,incident-management,3
lifecycle-control,observability,2
lifecycle-control,task-orchestration,7
observability,adapter-action,4
observability,agent-control,8
observability,event-processing,3
observability,execution-control,5
observability,incident-management,5
observability,lifecycle-control,1
observability,task-orchestration,6
task-orchestration,agent-control,4
task-orchestration,app-config,1
task-orchestration,event-processing,5
task-orchestration,execution-control,3
task-orchestration,incident-management,3
task-orchestration,infrastructure,2
task-orchestration,observability,1
