source_context,target_context,source_file,imported_type
adapter-action,infrastructure,action/mybatis/MybatisAdapterActionRepository.java,com.opensocket.aievent.database.persistence.adapter.dao.AdapterActionDao
agent-control,infrastructure,agent/mybatis/MybatisAgentDirectoryRepository.java,com.opensocket.aievent.database.persistence.agent.dao.AgentDirectoryDao
agent-control,infrastructure,gateway/mybatis/MybatisGatewayNodeRepository.java,com.opensocket.aievent.database.persistence.agent.dao.GatewayNodeDao
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.executor.audit.AdapterExecutorAuditRepository
api,agent-control,api/CoreStatusController.java,com.opensocket.aievent.core.gateway.GatewayNodeRepository
api,event-processing,api/CoreStatusController.java,com.opensocket.aievent.core.dedup.snapshot.DedupStateSnapshotRepository
api,event-processing,api/EventIntakeController.java,com.opensocket.aievent.core.decision.EventDecisionRepository
api,execution-control,api/CoreStatusController.java,com.opensocket.aievent.core.callback.TaskCallbackRepository
api,execution-control,api/CoreStatusController.java,com.opensocket.aievent.core.dispatch.DispatchRequestRepository
api,execution-control,api/DispatchRequestController.java,com.opensocket.aievent.core.dispatch.DispatchRequestRepository
api,execution-control,api/TaskCallbackController.java,com.opensocket.aievent.core.callback.TaskCallbackRepository
api,incident-management,api/CoreStatusController.java,com.opensocket.aievent.core.incident.IncidentRepository
api,incident-management,api/CoreStatusController.java,com.opensocket.aievent.core.summary.IncidentOccurrenceSummaryRepository
api,incident-management,api/IncidentController.java,com.opensocket.aievent.core.incident.IncidentRepository
api,incident-management,api/IncidentController.java,com.opensocket.aievent.core.summary.IncidentOccurrenceSummaryRepository
api,task-orchestration,api/AssignmentController.java,com.opensocket.aievent.core.assignment.TaskAssignmentRepository
api,task-orchestration,api/AssignmentController.java,com.opensocket.aievent.core.task.TaskRepository
api,task-orchestration,api/CoreStatusController.java,com.opensocket.aievent.core.assignment.TaskAssignmentRepository
api,task-orchestration,api/CoreStatusController.java,com.opensocket.aievent.core.routing.RoutingDecisionRepository
api,task-orchestration,api/CoreStatusController.java,com.opensocket.aievent.core.task.TaskRepository
api,task-orchestration,api/RoutingDecisionController.java,com.opensocket.aievent.core.routing.RoutingDecisionRepository
api,task-orchestration,api/TaskController.java,com.opensocket.aievent.core.task.TaskRepository
execution-control,infrastructure,callback/mybatis/MybatisTaskCallbackRepository.java,com.opensocket.aievent.database.persistence.execution.dao.TaskCallbackDao
execution-control,infrastructure,dispatch/mybatis/MybatisDispatchRequestRepository.java,com.opensocket.aievent.database.persistence.execution.dao.DispatchRequestDao
incident-management,infrastructure,incident/mybatis/MybatisIncidentRepository.java,com.opensocket.aievent.database.persistence.incident.dao.IncidentDao
lifecycle-control,execution-control,lifecycle/TaskLifecycleService.java,com.opensocket.aievent.core.dispatch.DispatchRequestRepository
lifecycle-control,incident-management,lifecycle/IncidentLifecycleService.java,com.opensocket.aievent.core.incident.IncidentRepository
lifecycle-control,task-orchestration,lifecycle/TaskLifecycleService.java,com.opensocket.aievent.core.assignment.TaskAssignmentRepository
lifecycle-control,task-orchestration,lifecycle/TaskLifecycleService.java,com.opensocket.aievent.core.task.TaskRepository
observability,adapter-action,observability/CoreOperationalHealthIndicator.java,com.opensocket.aievent.core.action.AdapterActionRepository
observability,adapter-action,observability/OperationalSummaryService.java,com.opensocket.aievent.core.action.AdapterActionRepository
observability,agent-control,observability/CoreOperationalHealthIndicator.java,com.opensocket.aievent.core.agent.AgentDirectoryRepository
observability,agent-control,observability/CoreOperationalHealthIndicator.java,com.opensocket.aievent.core.gateway.GatewayNodeRepository
observability,agent-control,observability/OperationalSummaryService.java,com.opensocket.aievent.core.agent.AgentDirectoryRepository
observability,agent-control,observability/OperationalSummaryService.java,com.opensocket.aievent.core.gateway.GatewayNodeRepository
observability,execution-control,observability/CoreOperationalHealthIndicator.java,com.opensocket.aievent.core.dispatch.DispatchRequestRepository
observability,execution-control,observability/OperationalSummaryService.java,com.opensocket.aievent.core.dispatch.DispatchRequestRepository
observability,incident-management,observability/CoreOperationalHealthIndicator.java,com.opensocket.aievent.core.incident.IncidentRepository
observability,incident-management,observability/OperationalSummaryService.java,com.opensocket.aievent.core.incident.IncidentRepository
observability,task-orchestration,observability/CoreOperationalHealthIndicator.java,com.opensocket.aievent.core.task.TaskRepository
observability,task-orchestration,observability/OperationalSummaryService.java,com.opensocket.aievent.core.task.TaskRepository
task-orchestration,infrastructure,task/mybatis/MybatisTaskRepository.java,com.opensocket.aievent.database.persistence.task.dao.TaskDao
