source_context,target_context,source_file,imported_type
adapter-action,domain-events,action/AdapterActionService.java,com.opensocket.aievent.core.outbox.ModuleEventPublisher
adapter-action,domain-events,action/TaskTerminalEventHandler.java,com.opensocket.aievent.core.outbox.ModuleEventHandler
adapter-action,execution-control,action/AdapterActionFacade.java,com.opensocket.aievent.core.callback.TaskCallbackRequest
adapter-action,execution-control,action/AdapterActionFacade.java,com.opensocket.aievent.core.callback.TaskCallbackType
adapter-action,execution-control,action/AdapterActionFacade.java,com.opensocket.aievent.core.dispatch.DispatchRequest
adapter-action,execution-control,action/AdapterActionService.java,com.opensocket.aievent.core.callback.TaskCallbackRequest
adapter-action,execution-control,action/AdapterActionService.java,com.opensocket.aievent.core.callback.TaskCallbackType
adapter-action,execution-control,action/AdapterActionService.java,com.opensocket.aievent.core.dispatch.DispatchRequest
adapter-action,execution-control,action/TaskTerminalEventHandler.java,com.opensocket.aievent.core.callback.TaskCallbackRequest
adapter-action,execution-control,action/TaskTerminalEventHandler.java,com.opensocket.aievent.core.callback.TaskCallbackType
adapter-action,execution-control,action/TaskTerminalEventHandler.java,com.opensocket.aievent.core.dispatch.DispatchRequest
adapter-action,foundation-contracts,action/AdapterActionService.java,com.opensocket.aievent.core.events.AdapterActionRequestedEvent
adapter-action,foundation-contracts,action/TaskTerminalEventHandler.java,com.opensocket.aievent.core.events.TaskTerminalEvent
adapter-action,incident-management,action/AdapterActionService.java,com.opensocket.aievent.core.incident.Incident
adapter-action,incident-management,action/AdapterActionService.java,com.opensocket.aievent.core.incident.IncidentFacade
adapter-action,task-orchestration,action/AdapterActionFacade.java,com.opensocket.aievent.core.task.TaskRecord
adapter-action,task-orchestration,action/AdapterActionService.java,com.opensocket.aievent.core.task.TaskRecord
adapter-action,task-orchestration,action/AdapterActionService.java,com.opensocket.aievent.core.task.TaskStatus
adapter-action,task-orchestration,action/TaskTerminalEventHandler.java,com.opensocket.aievent.core.task.TaskPriority
adapter-action,task-orchestration,action/TaskTerminalEventHandler.java,com.opensocket.aievent.core.task.TaskRecord
adapter-action,task-orchestration,action/TaskTerminalEventHandler.java,com.opensocket.aievent.core.task.TaskStatus
adapter-action,task-orchestration,action/TaskTerminalEventHandler.java,com.opensocket.aievent.core.task.TaskType
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.AdapterAction
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.AdapterActionFacade
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.AdapterActionProperties
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.AdapterActionStatus
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.executor.AdapterActionExecutionProperties
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.executor.AdapterActionExecutionService
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.executor.AdapterActionExecutionSummary
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.executor.AdapterExecutorCircuitBreaker
api,adapter-action,api/AdapterActionController.java,com.opensocket.aievent.core.action.executor.audit.AdapterExecutorAuditRecord
api,adapter-action,api/CoreStatusController.java,com.opensocket.aievent.core.action.AdapterActionFacade
api,adapter-action,api/CoreStatusController.java,com.opensocket.aievent.core.action.AdapterActionProperties
api,adapter-action,api/CoreStatusController.java,com.opensocket.aievent.core.action.executor.AdapterActionExecutionProperties
api,adapter-action,api/InternalAdapterActionWorkerController.java,com.opensocket.aievent.core.action.AdapterAction
api,adapter-action,api/InternalAdapterActionWorkerController.java,com.opensocket.aievent.core.action.AdapterActionFacade
api,adapter-action,api/InternalAdapterActionWorkerController.java,com.opensocket.aievent.core.action.AdapterType
api,adapter-action,api/InternalAdapterActionWorkerController.java,com.opensocket.aievent.core.action.AdapterWorkItemMapper
api,agent-control,api/AgentController.java,com.opensocket.aievent.core.agent.AgentDirectoryService
api,agent-control,api/AgentController.java,com.opensocket.aievent.core.agent.AgentQuery
api,agent-control,api/AgentController.java,com.opensocket.aievent.core.agent.AgentSnapshot
api,agent-control,api/AgentController.java,com.opensocket.aievent.core.agent.AgentStatus
api,agent-control,api/CoreStatusController.java,com.opensocket.aievent.core.agent.AgentControlOperationalQuery
api,agent-control,api/GatewayNodeController.java,com.opensocket.aievent.core.agent.AgentDirectoryService
api,agent-control,api/GatewayNodeController.java,com.opensocket.aievent.core.agent.AgentQuery
api,agent-control,api/GatewayNodeController.java,com.opensocket.aievent.core.agent.AgentSnapshot
api,agent-control,api/GatewayNodeController.java,com.opensocket.aievent.core.agent.AgentStatus
api,agent-control,api/GatewayNodeController.java,com.opensocket.aievent.core.gateway.GatewayDirectoryService
api,agent-control,api/GatewayNodeController.java,com.opensocket.aievent.core.gateway.GatewayNode
api,agent-control,api/GatewayNodeController.java,com.opensocket.aievent.core.gateway.GatewayNodeQuery
api,agent-control,api/GatewayNodeController.java,com.opensocket.aievent.core.gateway.GatewayNodeStatus
api,app-config,api/CoreStatusController.java,com.opensocket.aievent.core.config.CoreDecisionProperties
api,app-config,api/CoreStatusController.java,com.opensocket.aievent.core.config.CoreDeploymentProperties
api,event-processing,api/CoreStatusController.java,com.opensocket.aievent.core.fingerprint.FingerprintPolicyProperties
api,event-processing,api/CoreStatusController.java,com.opensocket.aievent.core.processing.EventProcessingOperationalQuery
api,event-processing,api/EventIntakeController.java,com.opensocket.aievent.core.decision.DecisionEngine
api,event-processing,api/EventIntakeController.java,com.opensocket.aievent.core.decision.EventDecisionQueryService
api,event-processing,api/EventIntakeController.java,com.opensocket.aievent.core.decision.EventDecisionRecord
api,event-processing,api/EventIntakeController.java,com.opensocket.aievent.core.decision.EventIntakeDecisionResponse
api,execution-control,api/CoreStatusController.java,com.opensocket.aievent.core.callback.TaskCallbackProperties
api,execution-control,api/CoreStatusController.java,com.opensocket.aievent.core.dispatch.DispatchProperties
api,execution-control,api/CoreStatusController.java,com.opensocket.aievent.core.dispatch.ExecutionOperationalQuery
api,execution-control,api/DispatchRequestController.java,com.opensocket.aievent.core.dispatch.DispatchExecutionResult
